letter_id,letter_issue_date,company_name,subject,letter_url,marcs_cms,Year,repeat_company,repeat_marcs
11,12/19/2025,Agebox Inc.,Unapproved New Drug/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/agebox-inc-718252-12192025,718252.0,2025,0,0
12,12/19/2025,"LiquidCapsule Manufacturing, LLC",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/liquidcapsule-manufacturing-llc-717069-12192025,717069.0,2025,0,0
13,12/19/2024,"Viatris, Inc.",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/viatris-inc-690897-12192024,690897.0,2024,0,0
14,12/19/2024,"Fagron Compounding Services, LLC dba Fagron Sterile Service",Compounding Pharmacy/Adulterated Drug Products,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fagron-compounding-services-llc-dba-fagron-sterile-service-698861-12192024,698861.0,2024,0,0
15,12/19/2023,"Jeffrey W. Taub, M.D./Children's Hospital of Michigan",Clinical Investigator,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/jeffrey-w-taub-mdchildrens-hospital-michigan-674545-12192023,674545.0,2023,0,0
16,12/18/2025,"Private Label Skin Care, Inc.",CGMP/OTC/Adulterated/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/biolab-sciences-inc-621465-08232022,621465.0,2025,0,0
17,12/18/2024,"Sombra Cosmetics, Inc.",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sombra-cosmetics-inc-692322-12182024,692322.0,2024,0,0
18,12/18/2024,Bhargava Phytolab Private Limited,CGMP/Finished Pharmaceutical/API/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bhargava-phytolab-private-limited-691610-12182024,691610.0,2024,0,0
19,12/17/2024,"Right Value Drug Stores, LLC dba Carie Boyd Pharmaceuticals",Compounding Pharmacy/Adulterated Drug Products,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/right-value-drug-stores-llc-dba-carie-boyd-pharmaceuticals-694687-12172024,694687.0,2024,0,0
20,12/17/2024,Akron Formulations India Private Limited,CGMP/Finished Pharmaceutical/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/akron-formulations-india-private-limited-693938-12172024,693938.0,2024,0,0
21,12/17/2024,Brands International Corporation,CGMP/Finished Pharmaceutical/Adulterated/Refusal to Allow Inspection,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/brands-international-corporation-689983-12172024,689983.0,2024,0,0
22,12/16/2025,"Guangdong Renhe Guozhuang Biotechnology Co., Ltd.",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/guangdong-renhe-guozhuang-biotechnology-co-ltd-719045-12162025,719045.0,2025,0,0
23,12/16/2024,Indoco Remedies Limited,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/indoco-remedies-limited-691594-12162024,691594.0,2024,0,0
24,12/16/2022,"Superior Glove Works, Ltd.",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/superior-glove-works-ltd-641100-12162022,641100.0,2022,0,0
25,12/15/2023,Patcos Cosmetics Pvt. Ltd.,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/patcos-cosmetics-pvt-ltd-669465-12152023,669465.0,2023,0,0
26,12/15/2021,Maquiladora Miniara SA de CV,CGMP/Finished Pharmaceuticals/Adulterated/Unapproved New Drug,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/maquiladora-miniara-sa-de-cv-609152-12152021,609152.0,2021,0,0
27,12/14/2023,www.trinexpharmacy.com,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/wwwtrinexpharmacycom-671351-12142023,671351.0,2023,0,0
28,12/14/2022,"Adarsh Daswani, M.D.",Clinical Investigator,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/adarsh-daswani-md-648606-12142022,648606.0,2022,0,0
29,12/14/2021,Guangdong Kemei Pharmaceutical Technology Co. Ltd.,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/guangdong-kemei-pharmaceutical-technology-co-ltd-612090-12142021,612090.0,2021,0,0
30,12/12/2025,Prime Sports Nutrition,Unapproved New Drugs,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/prime-sports-nutrition-719433-12122025,719433.0,2025,0,0
31,12/12/2025,Atomix LLC,Unapproved New Drugs,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/atomix-llc-719111-12122025,719111.0,2025,0,0
32,12/12/2025,Musclepower Enterprise Ltd. dba MONSTER KING and GE LABS,Unapproved New Drugs/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/musclepower-enterprise-ltd-dba-monster-king-and-ge-labs-719339-12122025,719339.0,2025,0,0
33,12/12/2025,Dynamic Health Group dba SARMS AMERICA,Unapproved New Drugs,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/dynamic-health-group-dba-sarms-america-719257-12122025,719257.0,2025,0,0
34,12/12/2025,TITAN SARMS LLC,Unapproved New Drugs,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/titan-sarms-llc-719645-12122025,719645.0,2025,0,0
35,12/12/2025,Pinnacle Professional Research dba Pinnacle Peptides,Unapproved New Drugs,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/pinnacle-professional-research-dba-pinnacle-peptides-719337-12122025,719337.0,2025,0,0
37,12/12/2023,"Anish S. Shah, M.D./Siyan Clinical Research",Clinical Investigator,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/anish-s-shah-mdsiyan-clinical-research-674073-12122023,674073.0,2023,0,0
38,12/11/2025,"Devalingam Mahalingam, M.D., Ph.D.",Clinical Investigator,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/devalingam-mahalingam-md-phd-721145-12112025,721145.0,2025,0,0
39,12/10/2025,"Medinatura New Mexico, Inc.",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/medinatura-new-mexico-inc-716025-12102025,716025.0,2025,0,0
40,12/10/2024,Veronvy,Unapproved New Drugs/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/veronvy-694688-12102024,694688.0,2024,0,0
41,12/10/2024,"Prime Vitality, Inc. dba Prime Peptides",Unapproved New Drugs/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/prime-vitality-inc-dba-prime-peptides-695156-12102024,695156.0,2024,0,0
42,12/10/2024,Swisschems,Unapproved New Drugs/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/swisschems-695663-12102024,695663.0,2024,0,0
43,12/10/2024,Xcel Research LLC,Unapproved New Drugs/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/xcel-research-llc-694608-12102024,694608.0,2024,0,0
44,12/10/2024,Summit Research Peptides,Unapproved New Drugs/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/summit-research-peptides-695607-12102024,695607.0,2024,0,0
45,12/09/2025,Sklar Personal Care Inc.,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sklar-personal-care-inc-716656-12092025,716656.0,2025,0,0
46,12/08/2025,"Darmerica, LLC",CGMP/Active Pharmaceutical Ingredient (API)/Adulterated/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/darmerica-llc-716152-12082025,716152.0,2025,0,0
47,12/08/2022,Nortec Quimica SA,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nortec-quimica-sa-639894-12082022,639894.0,2022,0,0
48,12/07/2023,"Novid Group, Inc.",CGMP/Finished Pharmaceuticals/Adulterated/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/novid-group-inc-672251-12072023,672251.0,2023,0,0
49,12/07/2022,Centrient Pharmaceuticals India Private Limited,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/centrient-pharmaceuticals-india-private-limited-640196-12072022,640196.0,2022,0,0
50,12/07/2021,"Guangzhou Shiruoni Cosmetics Co., Ltd",CGMP/Finished Pharmaceuticals/Adulterated/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/guangzhou-shiruoni-cosmetics-co-ltd-613170-12072021,613170.0,2021,0,0
52,12/04/2025,3D Imaging Drug Design and Development LLC,CGMP/Positron Emission Tomography (PET) Drugs/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/3d-imaging-drug-design-and-development-llc-716213-12042025,716213.0,2025,0,0
53,12/03/2024,"Han C. Phan, M.D.",Clinical Investigator,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/han-c-phan-md-696989-12032024,696989.0,2024,0,0
54,12/03/2024,"Applied Therapeutics, Inc.",Sponsor,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/applied-therapeutics-inc-696833-12032024,696833.0,2024,0,0
55,12/03/2024,Micro Orgo Chem,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/micro-orgo-chem-686458-12032024,686458.0,2024,0,0
56,12/01/2023,Belmont Eyecare LLC,Finished Pharmaceuticals/Unapproved New Drug,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/belmont-eyecare-llc-670186-12012023,670186.0,2023,0,0
57,12/01/2021,"Eagle Energy USA, Inc.",Unapproved New Drugs/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/eagle-energy-usa-inc-617712-12012021,617712.0,2021,0,0
58,12/01/2021,"VitaStik, Inc.",Unapproved New Drugs/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/vitastik-inc-617713-12012021,617713.0,2021,0,0
59,12/01/2021,"VitaCig, Inc.",Unapproved New Drugs/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/vitacig-inc-617847-12012021,617847.0,2021,0,0
60,12/01/2021,"NV Nutrition, LLC",Unapproved New Drugs/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nv-nutrition-llc-617979-12012021,617979.0,2021,0,0
61,12/01/2021,"Vitamin Vape, Inc.",Unapproved New Drugs/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/vitamin-vape-inc-617787-12012021,617787.0,2021,0,0
62,11/28/2022,AG Hair Limited,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ag-hair-limited-638646-11282022,638646.0,2022,0,0
63,11/24/2025,"CDL Services, Inc. DBA Technichem",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cdl-services-inc-dba-technichem-713877-11242025,713877.0,2025,0,0
64,11/23/2021,"Hubei Kangzheng Pharmaceutical Co., Ltd.",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hubei-kangzheng-pharmaceutical-co-ltd-616581-11232021,616581.0,2021,0,0
65,11/22/2023,Dr. Berne’s Whole Health Products,CGMP/Finished Pharmaceuticals/Adulterated/Unapproved New Drug,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/dr-bernes-whole-health-products-665456-11222023,665456.0,2023,0,0
66,11/22/2022,Glenmark Pharmaceuticals Limited,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/glenmark-pharmaceuticals-limited-708270-07112025,708270.0,2022,1,0
67,11/21/2024,Catwalk Cosmetic Laboratories Pty Ltd.,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/catwalk-cosmetic-laboratories-pty-ltd-693863-11212024,693863.0,2024,0,0
68,11/21/2024,LCC Ltd.,CGMP/Finished Pharmaceuticals/Adulterated/Unapproved New Drug/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/lcc-ltd-688576-11212024,688576.0,2024,1,0
69,11/21/2024,"Dr. Brite, LLC",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/dr-brite-llc-684466-11212024,684466.0,2024,0,0
70,11/21/2023,Intas Pharmaceuticals Limited,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/intas-pharmaceuticals-limited-662868-11212023,662868.0,2023,1,0
71,11/20/2024,Eurosirel S.P.A,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/eurosirel-spa-690733-11202024,690733.0,2024,0,0
72,11/18/2024,"Hangzhou Huiji Biotechnology Co., Ltd.",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hangzhou-huiji-biotechnology-co-ltd-692844-11182024,692844.0,2024,0,0
73,11/18/2022,"""David M. Lubeck, M.D./Arbor Centers for EyeCare",Clinical Investigator (Sponsor) ,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/david-m-lubeck-mdarbor-centers-eyecare-643531-11182022,643531.0,2022,0,0
74,11/17/2025,Mahita LLC dba PushMyCart,Unapproved New Drugs,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mahita-llc-dba-pushmycart-616541-08192021,616541.0,2025,0,0
75,11/17/2025,"Handelnine Global, LLC dba Navafresh",Unapproved New Drugs/Adulterated/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/handelnine-global-llc-dba-navafresh-716013-11172025,716013.0,2025,0,0
76,11/17/2025,Swift Digital Group LLC dba Swadesii,Unapproved New Drugs,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/swift-digital-group-llc-dba-swadesii-716644-11172025,716644.0,2025,0,0
77,11/17/2025,VarunKart Group LLC dba Organic Wellnesses,Unapproved New Drugs,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/varunkart-group-llc-dba-organic-wellnesses-716154-11172025,716154.0,2025,0,0
78,11/17/2025,Distacart Inc.,Unapproved New Drugs,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/distacart-inc-716212-11172025,716212.0,2025,0,0
79,11/17/2023,AmLion Toothpaste Mfg. Sdn. Bhd.,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/amlion-toothpaste-mfg-sdn-bhd-665879-11172023,665879.0,2023,0,0
80,11/17/2023,Cipla Limited,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cipla-limited-597511-02252020,597511.0,2023,0,0
81,11/17/2023,"Nantong Furuida Packaging Products Co., Ltd.",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nantong-furuida-packaging-products-co-ltd-667984-11172023,667984.0,2023,0,0
83,11/16/2023,Cerci Kozmetik Ve Otel Ekipmanlari Pazarlama Ic Ve Dis Ticaret Limited Sirketi,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cerci-kozmetik-ve-otel-ekipmanlari-pazarlama-ic-ve-dis-ticaret-limited-sirketi-669488-11162023,669488.0,2023,0,0
84,11/15/2024,Centura Pharmaceuticals Inc,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/OTC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/centura-pharmaceuticals-inc-684733-11152024,684733.0,2024,0,0
85,11/15/2023,"Xiamen Wally Bath Manufacture Co., Ltd.",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/xiamen-wally-bath-manufacture-co-ltd-669407-11152023,669407.0,2023,0,0
86,11/14/2022,yourtramadol.com,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/yourtramadolcom-639959-11142022,639959.0,2022,0,0
87,11/14/2022,goodimmuno.com,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/goodimmunocom-642697-11142022,642697.0,2022,0,0
88,11/13/2025,123Herbals,Unapproved New Drugs/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/123herbals-719198-11132025,719198.0,2025,0,0
89,11/13/2025,Cdymax India Pharma Private Limited,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cdymax-india-pharma-private-limited-715022-11132025,715022.0,2025,0,0
90,11/13/2025,Shoplet,Nonprescription/OTC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/shoplet-717846-11132025,717846.0,2025,0,0
92,11/13/2025,Medical Mega,Nonprescription/OTC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/medical-mega-717840-11132025,717840.0,2025,0,0
93,11/13/2024,"Guangzhou Four E’s Scientific Co., Ltd.",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/guangzhou-four-es-scientific-co-ltd-692061-11132024,692061.0,2024,0,0
94,11/13/2023,Sudesan Temizlik Urunleri Ve Ambalaj Sanaryi Ticaret Anomin Sirketi,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sudesan-temizlik-urunleri-ve-ambalaj-sanaryi-ticaret-anomin-sirketi-666900-11132023,666900.0,2023,0,0
95,11/13/2023,"Amazon.com, Inc.",Unapproved New Drugs/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/amazoncom-inc-662503-12202023,662503.0,2023,1,0
96,11/12/2025,"Sinsin Pharmaceutical Co., Ltd.",Nonprescription/OTC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sinsin-pharmaceutical-co-ltd-718720-11122025,718720.0,2025,0,0
97,11/12/2025,Rhyz Analytical Labs,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/rhyz-analytical-labs-715298-11122025,715298.0,2025,0,0
98,11/12/2025,DeVere Manufacturing Inc.,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/devere-manufacturing-inc-715846-11122025,715846.0,2025,0,0
100,11/10/2025,"Verdure Sciences, Inc.",Sponsor/Investigator,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/verdure-sciences-inc-717259-11102025,717259.0,2025,0,0
101,11/08/2023,"Melanie M. Hoppers, M.D./Physicians Quality Care",Clinical Investigator,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/melanie-m-hoppers-mdphysicians-quality-care-671684-11082023,671684.0,2023,0,0
102,11/08/2023,www.directpharmashop.net,Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/wwwdirectpharmashopnet-668345-11082023,668345.0,2023,0,0
103,11/07/2025,"Wells Pharma of Houston, LLC",Compounding Pharmacy/Adulterated Drug Products,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/wells-pharma-houston-llc-713015-11072025,713015.0,2025,0,0
104,11/07/2024,"Zhejiang Qimei Cosmetics Co., Ltd.",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/zhejiang-qimei-cosmetics-co-ltd-690950-11072024,690950.0,2024,0,0
105,11/07/2024,Originitalia SRL,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/originitalia-srl-687935-11072024,687935.0,2024,0,0
106,11/06/2024,"Unexo Lifesciences, Private Limited",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/unexo-lifesciences-private-limited-688163-11062024,688163.0,2024,0,0
107,11/06/2024,"Richard W. Foltin, Ph.D.",Clinical Investigator (Sponsor),https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/richard-w-foltin-phd-690189-11062024,690189.0,2024,0,0
108,11/06/2023,Saruhan Kimya Ve Temizlik Urunleri Sanayi Ticaret Anonim Sirketi Corlu Subesi,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/saruhan-kimya-ve-temizlik-urunleri-sanayi-ticaret-anonim-sirketi-corlu-subesi-669487-11062023,669487.0,2023,0,0
109,11/05/2024,Multaler et Cie SAS,CGMP/Finished Pharmaceuticals/Adulterated/Unapproved New Drug,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/multaler-et-cie-sas-685009-11052024,685009.0,2024,0,0
110,11/05/2024,"Colgate-Palmolive/Tom's of Maine, Inc.",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/colgate-palmolivetoms-maine-inc-687043-11052024,687043.0,2024,0,0
111,11/04/2025,"Siddha Flower Essences, LLC., dba Siddha Remedies",CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/siddha-flower-essences-llc-dba-siddha-remedies-713217-11042025,713217.0,2025,0,0
113,11/03/2025,AceCosm,Unapproved New Drugs/Misbranded/Botox Blitz,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/acecosm-718610-11032025,718610.0,2025,0,0
114,11/03/2025,"Dermax Co., Ltd",Unapproved New Drugs/Misbranded/Botox Blitz,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/dermax-co-ltd-718712-11032025,718712.0,2025,0,0
115,11/03/2025,Glow Nest Beauty,Unapproved New Drugs/Misbranded/Botox Blitz,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/glow-nest-beauty-718710-11032025,718710.0,2025,0,0
116,11/03/2025,Aesthetic Essentials Limited,Unapproved New Drugs/Misbranded/Botox Blitz,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/aesthetic-essentials-limited-718707-11032025,718707.0,2025,0,0
117,11/03/2025,Cosmenic,Unapproved New Drugs/Misbranded Botox,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cosmenic-718621-11032025,718621.0,2025,0,0
118,11/03/2025,Elle Pharm,Unapproved New Drugs/Misbranded/Botox Blitz,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/elle-pharm-718713-11032025,718713.0,2025,0,0
119,11/03/2025,Dermacare dba Filler Outlet,Unapproved New Drugs/Misbranded Botox,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/dermacare-dba-filler-outlet-718715-11032025,718715.0,2025,0,0
120,11/03/2025,Maypharm,Unapproved New Drugs/Misbranded Botox,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/maypharm-718717-11032025,718717.0,2025,0,0
121,11/03/2025,Estaderma,Unapproved New Drugs/Misbranded Botox,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/estaderma-718714-11032025,718714.0,2025,0,0
